CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE,EMPLOYMENT_YEARS
0,0,1,0,315000.0,1,4,4,1,1,0,0,0,17,1.0,0,55,5.457534246575342
0,0,1,0,247500.0,0,1,2,4,1,0,0,0,3,1.0,0,46,3.6904109589041094
0,0,1,0,247500.0,0,1,2,4,1,0,0,0,3,1.0,0,46,3.6904109589041094
0,0,1,0,247500.0,0,1,2,4,1,0,0,0,3,1.0,0,46,3.6904109589041094
0,0,1,0,247500.0,0,1,2,4,1,0,0,0,3,1.0,0,46,3.6904109589041094
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
0,0,1,0,297000.0,0,4,3,4,1,0,0,0,8,1.0,0,42,8.860273972602739
